Test dataset Accuracy = 0.04,Step = 57
Test dataset Cost = 0,Step = 57
Test dataset Recall = nan,Step = 57
Test dataset Precision = nan,Step = 57
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00379968,Step = 58
Test dataset MSE = 0.110295,Step = 58
Test dataset Accuracy = 0.04,Step = 58
Test dataset Cost = 0,Step = 58
Test dataset Recall = nan,Step = 58
Test dataset Precision = nan,Step = 58
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00379769,Step = 59
Test dataset MSE = 0.109776,Step = 59
Test dataset Accuracy = 0.04,Step = 59
Test dataset Cost = 0,Step = 59
Test dataset Recall = nan,Step = 59
Test dataset Precision = nan,Step = 59
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00379576,Step = 60
Test dataset MSE = 0.10927,Step = 60
Test dataset Accuracy = 0.04,Step = 60
Test dataset Cost = 0,Step = 60
Test dataset Recall = nan,Step = 60
Test dataset Precision = nan,Step = 60
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00379389,Step = 61
Test dataset MSE = 0.108777,Step = 61
Test dataset Accuracy = 0.04,Step = 61
Test dataset Cost = 0,Step = 61
Test dataset Recall = nan,Step = 61
Test dataset Precision = nan,Step = 61
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00379209,Step = 62
Test dataset MSE = 0.1083,Step = 62
Test dataset Accuracy = 0.04,Step = 62
Test dataset Cost = 0,Step = 62
Test dataset Recall = nan,Step = 62
Test dataset Precision = nan,Step = 62
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00379035,Step = 63
Test dataset MSE = 0.107842,Step = 63
Test dataset Accuracy = 0.04,Step = 63
Test dataset Cost = 0,Step = 63
Test dataset Recall = nan,Step = 63
Test dataset Precision = nan,Step = 63
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00378867,Step = 64
Test dataset MSE = 0.107405,Step = 64
Test dataset Accuracy = 0.04,Step = 64
Test dataset Cost = 0,Step = 64
Test dataset Recall = nan,Step = 64
Test dataset Precision = nan,Step = 64
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00378705,Step = 65
Test dataset MSE = 0.10699,Step = 65
Test dataset Accuracy = 0.04,Step = 65
Test dataset Cost = 0,Step = 65
Test dataset Recall = nan,Step = 65
Test dataset Precision = nan,Step = 65
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00378548,Step = 66
Test dataset MSE = 0.106599,Step = 66
Test dataset Accuracy = 0.04,Step = 66
Test dataset Cost = 0,Step = 66
Test dataset Recall = nan,Step = 66
Test dataset Precision = nan,Step = 66
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00378396,Step = 67
Test dataset MSE = 0.106235,Step = 67
Test dataset Accuracy = 0.04,Step = 67
Test dataset Cost = 0,Step = 67
Test dataset Recall = nan,Step = 67
Test dataset Precision = nan,Step = 67
=========================================================
Test dataset is group 1
Train dataset MSE = 0.0037825,Step = 68
Test dataset MSE = 0.105899,Step = 68
Test dataset Accuracy = 0.04,Step = 68
Test dataset Cost = 0,Step = 68
Test dataset Recall = nan,Step = 68
Test dataset Precision = nan,Step = 68
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00378108,Step = 69
Test dataset MSE = 0.105594,Step = 69
Test dataset Accuracy = 0.04,Step = 69
Test dataset Cost = 0,Step = 69
Test dataset Recall = nan,Step = 69
Test dataset Precision = nan,Step = 69
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00377969,Step = 70
Test dataset MSE = 0.105321,Step = 70
Test dataset Accuracy = 0.04,Step = 70
Test dataset Cost = 0,Step = 70
Test dataset Recall = nan,Step = 70
Test dataset Precision = nan,Step = 70
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00377834,Step = 71
Test dataset MSE = 0.105083,Step = 71
Test dataset Accuracy = 0.04,Step = 71
Test dataset Cost = 0,Step = 71
Test dataset Recall = nan,Step = 71
Test dataset Precision = nan,Step = 71
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00377702,Step = 72
Test dataset MSE = 0.104882,Step = 72
Test dataset Accuracy = 0.04,Step = 72
Test dataset Cost = 0,Step = 72
Test dataset Recall = nan,Step = 72
Test dataset Precision = nan,Step = 72
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00377572,Step = 73
Test dataset MSE = 0.10472,Step = 73
Test dataset Accuracy = 0.04,Step = 73
Test dataset Cost = 0,Step = 73
Test dataset Recall = nan,Step = 73
Test dataset Precision = nan,Step = 73
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00377443,Step = 74
Test dataset MSE = 0.104599,Step = 74
Test dataset Accuracy = 0.04,Step = 74
Test dataset Cost = 0,Step = 74
Test dataset Recall = nan,Step = 74
Test dataset Precision = nan,Step = 74
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00377316,Step = 75
Test dataset MSE = 0.104522,Step = 75
Test dataset Accuracy = 0.04,Step = 75
Test dataset Cost = 0,Step = 75
Test dataset Recall = nan,Step = 75
Test dataset Precision = nan,Step = 75
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00377189,Step = 76
Test dataset MSE = 0.10449,Step = 76
Test dataset Accuracy = 0.04,Step = 76
Test dataset Cost = 0,Step = 76
Test dataset Recall = nan,Step = 76
Test dataset Precision = nan,Step = 76
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00377063,Step = 77
Test dataset MSE = 0.104504,Step = 77
Test dataset Accuracy = 0.04,Step = 77
Test dataset Cost = 0,Step = 77
Test dataset Recall = nan,Step = 77
Test dataset Precision = nan,Step = 77
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00376938,Step = 78
Test dataset MSE = 0.104566,Step = 78
Test dataset Accuracy = 0.04,Step = 78
Test dataset Cost = 0,Step = 78
Test dataset Recall = nan,Step = 78
Test dataset Precision = nan,Step = 78
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00376812,Step = 79
Test dataset MSE = 0.104676,Step = 79
Test dataset Accuracy = 0.04,Step = 79
Test dataset Cost = 0,Step = 79
Test dataset Recall = nan,Step = 79
Test dataset Precision = nan,Step = 79
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00376687,Step = 80
Test dataset MSE = 0.104834,Step = 80
Test dataset Accuracy = 0.04,Step = 80
Test dataset Cost = 0,Step = 80
Test dataset Recall = nan,Step = 80
Test dataset Precision = nan,Step = 80
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00376563,Step = 81
Test dataset MSE = 0.105039,Step = 81
Test dataset Accuracy = 0.04,Step = 81
Test dataset Cost = 0,Step = 81
Test dataset Recall = nan,Step = 81
Test dataset Precision = nan,Step = 81
=========================================================
Test dataset is group 1
Train dataset MSE = 0.0037644,Step = 82
Test dataset MSE = 0.10529,Step = 82
Test dataset Accuracy = 0.04,Step = 82
Test dataset Cost = 0,Step = 82
Test dataset Recall = nan,Step = 82
Test dataset Precision = nan,Step = 82
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00376318,Step = 83
Test dataset MSE = 0.105585,Step = 83
Test dataset Accuracy = 0.04,Step = 83
Test dataset Cost = 0,Step = 83
Test dataset Recall = nan,Step = 83
Test dataset Precision = nan,Step = 83
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00376198,Step = 84
Test dataset MSE = 0.105922,Step = 84
Test dataset Accuracy = 0.04,Step = 84
Test dataset Cost = 0,Step = 84
Test dataset Recall = nan,Step = 84
Test dataset Precision = nan,Step = 84
=========================================================
Test dataset is group 1
Train dataset MSE = 0.0037608,Step = 85
Test dataset MSE = 0.106298,Step = 85
Test dataset Accuracy = 0.04,Step = 85
Test dataset Cost = 0,Step = 85
Test dataset Recall = nan,Step = 85
Test dataset Precision = nan,Step = 85
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00375964,Step = 86
Test dataset MSE = 0.106711,Step = 86
Test dataset Accuracy = 0.04,Step = 86
Test dataset Cost = 0,Step = 86
Test dataset Recall = nan,Step = 86
Test dataset Precision = nan,Step = 86
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00375852,Step = 87
Test dataset MSE = 0.107158,Step = 87
Test dataset Accuracy = 0.04,Step = 87
Test dataset Cost = 0,Step = 87
Test dataset Recall = nan,Step = 87
Test dataset Precision = nan,Step = 87
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00375743,Step = 88
Test dataset MSE = 0.107635,Step = 88
Test dataset Accuracy = 0.04,Step = 88
Test dataset Cost = 0,Step = 88
Test dataset Recall = nan,Step = 88
Test dataset Precision = nan,Step = 88
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00375638,Step = 89
Test dataset MSE = 0.10814,Step = 89
Test dataset Accuracy = 0.04,Step = 89
Test dataset Cost = 0,Step = 89
Test dataset Recall = nan,Step = 89
Test dataset Precision = nan,Step = 89
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00375536,Step = 90
Test dataset MSE = 0.108671,Step = 90
Test dataset Accuracy = 0.04,Step = 90
Test dataset Cost = 0,Step = 90
Test dataset Recall = nan,Step = 90
Test dataset Precision = nan,Step = 90
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00375439,Step = 91
Test dataset MSE = 0.109224,Step = 91
Test dataset Accuracy = 0.04,Step = 91
Test dataset Cost = 0,Step = 91
Test dataset Recall = nan,Step = 91
Test dataset Precision = nan,Step = 91
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00375346,Step = 92
Test dataset MSE = 0.109797,Step = 92
Test dataset Accuracy = 0.04,Step = 92
Test dataset Cost = 0,Step = 92
Test dataset Recall = nan,Step = 92
Test dataset Precision = nan,Step = 92
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00375258,Step = 93
Test dataset MSE = 0.110388,Step = 93
Test dataset Accuracy = 0.04,Step = 93
Test dataset Cost = 0,Step = 93
Test dataset Recall = nan,Step = 93
Test dataset Precision = nan,Step = 93
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00375174,Step = 94
Test dataset MSE = 0.110995,Step = 94
Test dataset Accuracy = 0.04,Step = 94
Test dataset Cost = 0,Step = 94
Test dataset Recall = nan,Step = 94
Test dataset Precision = nan,Step = 94
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00375094,Step = 95
Test dataset MSE = 0.111617,Step = 95
Test dataset Accuracy = 0.04,Step = 95
Test dataset Cost = 0,Step = 95
Test dataset Recall = nan,Step = 95
Test dataset Precision = nan,Step = 95
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00375018,Step = 96
Test dataset MSE = 0.112252,Step = 96
Test dataset Accuracy = 0.04,Step = 96
Test dataset Cost = 0,Step = 96
Test dataset Recall = nan,Step = 96
Test dataset Precision = nan,Step = 96
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00374946,Step = 97
Test dataset MSE = 0.112899,Step = 97
Test dataset Accuracy = 0.04,Step = 97
Test dataset Cost = 0,Step = 97
Test dataset Recall = nan,Step = 97
Test dataset Precision = nan,Step = 97
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00374877,Step = 98
Test dataset MSE = 0.113558,Step = 98
Test dataset Accuracy = 0.04,Step = 98
Test dataset Cost = 0,Step = 98
Test dataset Recall = nan,Step = 98
Test dataset Precision = nan,Step = 98
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00374813,Step = 99
Test dataset MSE = 0.114227,Step = 99
Test dataset Accuracy = 0.04,Step = 99
Test dataset Cost = 0,Step = 99
Test dataset Recall = nan,Step = 99
Test dataset Precision = nan,Step = 99
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00374751,Step = 100
Test dataset MSE = 0.114907,Step = 100
Test dataset Accuracy = 0.04,Step = 100
Test dataset Cost = 0,Step = 100
Test dataset Recall = nan,Step = 100
Test dataset Precision = nan,Step = 100
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00374693,Step = 101
Test dataset MSE = 0.115596,Step = 101
Test dataset Accuracy = 0.04,Step = 101
Test dataset Cost = 0,Step = 101
Test dataset Recall = nan,Step = 101
Test dataset Precision = nan,Step = 101
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00374638,Step = 102
Test dataset MSE = 0.116295,Step = 102
